Physical Quantities,Calculated,Figure
i (A),0.2 ampere,0.2 ampere
v_R (V),43.7 volt,43.7 volt
v_L' (V),26.0 volt,26.0 volt
v (V),60.0 volt,60.0 volt
v_RL (V),11.5 volt,11.5 volt
v_L (V),23.0 volt,23.0 volt
L (H),0.36605636911135925 henry,0.36605636911135925 henry
Z (Ω),299.0 ohm,299.0 ohm
R_L (Ω),57.5 ohm,57.5 ohm
R (Ω),218.5 ohm,218.5 ohm
ω (s⁻¹),314.1592653589793 / second,314.1592653589793 / second
φ (deg),22.619864948040426 degree,22.619864948040426 degree
φ_L (deg),63.43494882292201 degree,63.43494882292201 degree
