Time,Delta_x,Velocity,Acceleration
0.02,0.005,0.25,0.0
0.04,0.005,0.25,0.0
0.06,0.005,0.25,2.4999999999999996
0.08,0.006,0.3,1.250000000000001
0.1,0.006500000000000001,0.325,0.0
0.12,0.006500000000000001,0.325,0.0
0.14,0.006500000000000001,0.325,0.9999999999999981
0.16,0.0069,0.345,0.0
0.18,0.0069,0.345,0.0
0.2,0.0069,0.345,1.5000000000000013
0.22,0.0075,0.375,0.0
0.24,0.0075,0.375,0.7500000000000007
0.26,0.0078000000000000005,0.39,0.0
0.28,0.0078000000000000005,0.39,0.5000000000000004
0.3,0.008,0.4,1.749999999999996
0.32,0.0087,0.43499999999999994,0.250000000000003
0.34,0.0088,0.44,0.2500000000000002
0.36,0.0089,0.445,0.5000000000000004
0.38,0.0091,0.455,0.9999999999999981
0.4,0.0095,0.475,0.5000000000000004
0.42,0.0097,0.485,0.0
0.44,0.0097,0.485,0.5000000000000032
0.46,0.0099,0.49500000000000005,0.0
0.48,0.0099,0.49500000000000005,0.24999999999999745
0.5,0.01,0.5,1.250000000000001
0.52,0.0105,0.525,0.7500000000000007
0.54,0.0108,0.54,0.2500000000000002
0.56,0.010900000000000002,0.545,0.2500000000000002
0.58,0.011000000000000001,0.55,0.0
0.6,0.011000000000000001,0.55,1.2499999999999956
0.62,0.0115,0.575,1.250000000000001
