,Theta_deg,I_mA_set1,I_mA_set2,I_mA_set3,I_mA_set4
0,-90,0.004,0.004,0.003,0.0
1,-80,0.0,0.0,0.0,0.0
2,-70,0.002,0.002,0.003,0.002
3,-60,0.01,0.01,0.011,0.011
4,-50,0.025,0.022,0.022,0.025
5,-40,0.042,0.042,0.041,0.039
6,-30,0.056,0.055,0.067,0.058
7,-20,0.077,0.079,0.08,0.072
8,-10,0.088,0.092,0.093,0.099
9,0,0.092,0.095,0.105,0.1033
10,10,0.11,0.1,0.104,0.098
11,20,0.096,0.093,0.089,0.1
12,30,0.086,0.095,0.086,0.085
13,40,0.078,0.071,0.077,0.079
14,50,0.064,0.066,0.058,0.063
15,60,0.044,0.046,0.041,0.044
16,70,0.027,0.023,0.024,0.027
17,80,0.013,0.013,0.012,0.013
18,90,0.003,0.003,0.003,0.003
